Subject,Trial,Action,Covered1,Covered2,Warning,Outcome
1,1,1, 1,2, 2,-5
1,1,-1, 1,2, 1,0
1,1,-1, 1,2, 0,10
1,2,3, 1,2, 2,5
1,2,2, 1,2, 1,-5
1,2,0, 1,2, 0,5
1,2,1, 1,2, 1,-5
1,2,-1, 1,2, 0,0
1,2,-1, 1,2, 1,10
1,3,0, 2,3, 2,5
1,3,0, 2,3, 1,5
1,3,0, 2,3, 1,5
1,3,0, 2,3, 1,5
1,3,0, 2,3, 1,5
1,3,0, 2,3, 1,10
1,4,-1, 0,2, 2,0
1,4,-1, 0,2, 0,-10
1,5,2, 3,0, 2,5
1,5,2, 3,0, 1,5
1,5,2, 3,0, 1,5
1,5,3, 3,0, 1,-5
1,5,1, 3,0, 0,5
1,5,1, 3,0, 1,10
1,6,2, 2,3, 2,-5
1,6,1, 2,3, 1,5
1,6,3, 2,3, 0,-5
1,6,-1, 2,3, 1,0
1,6,-1, 2,3, 0,-10
1,7,3, 2,3, 2,-5
1,7,0, 2,3, 1,5
1,7,-1, 2,3, 0,0
1,7,-1, 2,3, 0,0
1,8,1, 0,2, 2,5
1,8,0, 0,2, 0,-5
1,8,-1, 0,2, 1,0
1,8,-1, 0,2, 0,-10
1,9,0, 1,2, 2,5
1,9,1, 1,2, 0,-5
1,9,3, 1,2, 1,5
1,9,1, 1,2, 0,-5
1,9,1, 1,2, 1,-5
1,9,1, 1,2, 1,-10
1,10,-1, 1,3, 2,0
1,10,-1, 1,3, 0,10
1,11,0, 0,2, 2,-5
1,11,2, 0,2, 0,-5
1,11,-1, 0,2, 0,0
1,11,-1, 0,2, 1,10
1,12,-1, 1,3, 2,0
1,12,-1, 1,3, 1,0
1,13,2, 2,1, 2,-5
1,13,-1, 2,1, 0,0
1,13,-1, 2,1, 1,-10
1,14,0, 3,2, 2,5
1,14,0, 3,2, 1,5
1,14,3, 3,2, 1,-5
1,14,1, 3,2, 0,5
1,14,3, 3,2, 1,-5
1,14,3, 3,2, 0,10
1,15,3, 2,1, 2,5
1,15,-1, 2,1, 1,0
1,15,-1, 2,1, 1,10
1,16,0, 1,3, 2,5
1,16,3, 1,3, 0,-5
1,16,0, 1,3, 1,5
1,16,2, 1,3, 0,5
1,16,1, 1,3, 0,-5
1,16,1, 1,3, 1,-10
1,17,-1, 0,2, 2,0
1,17,-1, 0,2, 0,10
1,18,1, 3,2, 2,5
1,18,2, 3,2, 0,-5
1,18,0, 3,2, 1,5
1,18,3, 3,2, 0,-5
1,18,0, 3,2, 1,5
1,18,0, 3,2, 0,-10
1,19,3, 3,0, 2,-5
1,19,-1, 3,0, 1,0
1,19,-1, 3,0, 0,0
1,20,-1, 1,3, 2,0
1,20,-1, 1,3, 0,10
1,21,3, 3,1, 2,-5
1,21,-1, 3,1, 0,0
1,21,-1, 3,1, 1,10
1,22,1, 1,3, 2,-5
1,22,0, 1,3, 0,5
1,22,0, 1,3, 1,5
1,22,2, 1,3, 1,5
1,22,2, 1,3, 1,5
1,22,2, 1,3, 1,10
1,23,2, 1,2, 2,-5
1,23,0, 1,2, 0,5
1,23,2, 1,2, 1,-5
1,23,0, 1,2, 0,5
1,23,0, 1,2, 1,5
1,23,0, 1,2, 1,-10
1,24,0, 1,0, 2,-5
1,24,0, 1,0, 0,-5
1,24,1, 1,0, 0,-5
1,24,1, 1,0, 0,-5
1,24,1, 1,0, 0,-5
1,24,1, 1,0, 0,10
1,25,2, 2,0, 2,-5
1,25,0, 2,0, 1,-5
1,25,0, 2,0, 1,-5
1,25,1, 2,0, 1,5
1,25,0, 2,0, 0,-5
1,25,0, 2,0, 1,0
1,26,0, 3,0, 2,-5
1,26,3, 3,0, 1,-5
1,26,3, 3,0, 1,-5
1,26,1, 3,0, 1,5
1,26,3, 3,0, 0,-5
1,26,3, 3,0, 1,10
1,27,1, 2,1, 2,-5
1,27,-1, 2,1, 0,0
1,27,-1, 2,1, 1,10
1,28,-1, 2,0, 2,0
1,28,-1, 2,0, 1,10
1,29,3, 0,1, 2,5
1,29,3, 0,1, 0,5
1,29,2, 0,1, 0,5
1,29,2, 0,1, 0,5
1,29,0, 0,1, 0,-5
1,29,0, 0,1, 1,-10
1,30,-1, 3,0, 2,0
1,30,-1, 3,0, 0,0
2,1,3, 3,1, 2,-5
2,1,0, 3,1, 1,5
2,1,1, 3,1, 0,-5
2,1,-1, 3,1, 1,0
2,1,-1, 3,1, 0,-10
2,2,0, 0,3, 2,-5
2,2,3, 0,3, 1,-5
2,2,2, 0,3, 1,5
2,2,2, 0,3, 0,5
2,2,-1, 0,3, 0,0
2,2,-1, 0,3, 0,0
2,3,2, 3,2, 2,-5
2,3,0, 3,2, 0,5
2,3,1, 3,2, 1,5
2,3,1, 3,2, 1,5
2,3,1, 3,2, 1,5
2,3,1, 3,2, 1,10
2,4,1, 3,2, 2,5
2,4,2, 3,2, 1,-5
2,4,1, 3,2, 0,5
2,4,0, 3,2, 1,5
2,4,0, 3,2, 1,5
2,4,0, 3,2, 1,10
2,5,-1, 1,0, 2,0
2,5,-1, 1,0, 0,10
2,6,0, 0,1, 2,-5
2,6,3, 0,1, 1,5
2,6,-1, 0,1, 0,0
2,6,-1, 0,1, 0,0
2,7,3, 2,0, 2,5
2,7,0, 2,0, 0,-5
2,7,-1, 2,0, 1,0
2,7,-1, 2,0, 0,-10
2,8,1, 1,3, 2,-5
2,8,2, 1,3, 0,5
2,8,2, 1,3, 1,5
2,8,2, 1,3, 1,5
2,8,2, 1,3, 1,5
2,8,2, 1,3, 1,-10
2,9,2, 2,3, 2,-5
2,9,3, 2,3, 0,-5
2,9,3, 2,3, 0,-5
2,9,3, 2,3, 0,-5
2,9,3, 2,3, 0,-5
2,9,3, 2,3, 0,-10
2,10,3, 1,3, 2,-5
2,10,0, 1,3, 1,5
2,10,1, 1,3, 0,-5
2,10,-1, 1,3, 1,0
2,10,-1, 1,3, 0,10
2,11,-1, 1,2, 2,0
2,11,-1, 1,2, 1,-10
2,12,1, 2,3, 2,5
2,12,0, 2,3, 1,5
2,12,0, 2,3, 1,5
2,12,0, 2,3, 1,5
2,12,0, 2,3, 1,5
2,12,0, 2,3, 1,10
2,13,1, 3,1, 2,-5
2,13,2, 3,1, 0,5
2,13,-1, 3,1, 1,0
2,13,-1, 3,1, 1,10
2,14,2, 3,0, 2,5
2,14,-1, 3,0, 1,0
2,14,-1, 3,0, 1,10
2,15,-1, 2,1, 2,0
2,15,-1, 2,1, 1,10
2,16,1, 2,3, 2,5
2,16,2, 2,3, 0,-5
2,16,2, 2,3, 1,-5
2,16,2, 2,3, 1,-5
2,16,0, 2,3, 1,5
2,16,0, 2,3, 0,-10
2,17,0, 2,1, 2,5
2,17,-1, 2,1, 0,0
2,17,-1, 2,1, 0,10
2,18,2, 0,3, 2,5
2,18,-1, 0,3, 0,0
2,18,-1, 0,3, 0,0
2,19,3, 3,0, 2,-5
2,19,2, 3,0, 0,5
2,19,0, 3,0, 1,-5
2,19,1, 3,0, 0,5
2,19,3, 3,0, 1,-5
2,19,3, 3,0, 0,10
2,20,0, 0,1, 2,-5
2,20,1, 0,1, 1,-5
2,20,1, 0,1, 1,-5
2,20,1, 0,1, 1,-5
2,20,1, 0,1, 1,-5
2,20,1, 0,1, 1,0
2,21,2, 1,2, 2,-5
2,21,0, 1,2, 1,5
2,21,0, 1,2, 0,5
2,21,1, 1,2, 0,-5
2,21,3, 1,2, 1,5
2,21,3, 1,2, 0,10
2,22,3, 0,1, 2,5
2,22,0, 0,1, 0,-5
2,22,0, 0,1, 1,-5
2,22,0, 0,1, 1,-5
2,22,3, 0,1, 1,5
2,22,3, 0,1, 0,10
2,23,-1, 2,1, 2,0
2,23,-1, 2,1, 0,-10
2,24,-1, 3,2, 2,0
2,24,-1, 3,2, 0,-10
2,25,1, 2,0, 2,5
2,25,-1, 2,0, 0,0
2,25,-1, 2,0, 0,-10
2,26,1, 0,2, 2,5
2,26,3, 0,2, 1,5
2,26,2, 0,2, 1,-5
2,26,1, 0,2, 0,5
2,26,2, 0,2, 1,-5
2,26,2, 0,2, 0,-10
2,27,1, 0,3, 2,5
2,27,1, 0,3, 0,5
2,27,1, 0,3, 0,5
2,27,1, 0,3, 0,5
2,27,1, 0,3, 0,5
2,27,1, 0,3, 0,10
2,28,0, 3,2, 2,5
2,28,2, 3,2, 1,-5
2,28,1, 3,2, 0,5
2,28,-1, 3,2, 1,0
2,28,-1, 3,2, 1,0
2,29,0, 1,2, 2,5
2,29,3, 1,2, 1,5
2,29,3, 1,2, 1,5
2,29,3, 1,2, 1,5
2,29,3, 1,2, 1,5
2,29,3, 1,2, 1,10
2,30,1, 2,1, 2,-5
2,30,0, 2,1, 1,5
2,30,-1, 2,1, 0,0
2,30,-1, 2,1, 0,0
3,1,1, 0,1, 2,-5
3,1,1, 0,1, 0,-5
3,1,1, 0,1, 0,-5
3,1,2, 0,1, 0,5
3,1,3, 0,1, 1,5
3,1,3, 0,1, 1,10
3,2,-1, 2,1, 2,0
3,2,-1, 2,1, 0,0
3,3,3, 3,1, 2,-5
3,3,1, 3,1, 1,-5
3,3,-1, 3,1, 1,0
3,3,-1, 3,1, 0,10
3,4,2, 1,2, 2,-5
3,4,2, 1,2, 1,-5
3,4,2, 1,2, 1,-5
3,4,0, 1,2, 1,5
3,4,3, 1,2, 0,5
3,4,3, 1,2, 0,10
3,5,0, 1,3, 2,5
3,5,3, 1,3, 1,-5
3,5,2, 1,3, 0,5
3,5,0, 1,3, 1,5
3,5,0, 1,3, 1,5
3,5,0, 1,3, 1,10
3,6,3, 0,3, 2,-5
3,6,-1, 0,3, 0,0
3,6,-1, 0,3, 1,0
3,7,1, 2,0, 2,5
3,7,0, 2,0, 0,-5
3,7,1, 2,0, 1,5
3,7,2, 2,0, 0,-5
3,7,1, 2,0, 1,5
3,7,1, 2,0, 0,-10
3,8,0, 1,3, 2,5
3,8,3, 1,3, 0,-5
3,8,-1, 1,3, 1,0
3,8,-1, 1,3, 0,0
