Subject,Trial,Action,Covered1,Covered2,Warning,Outcome
1,1,3, 1,2, 2,5
1,1,0, 1,2, 0,5
1,1,0, 1,2, 0,5
1,1,0, 1,2, 0,5
1,1,0, 1,2, 0,5
1,1,0, 1,2, 0,10
1,2,0, 2,3, 2,5
1,2,1, 2,3, 1,5
1,2,3, 2,3, 1,-5
1,2,3, 2,3, 0,-10
1,2,2, 2,3, 0,-15
1,2,2, 2,3, 0,10
1,3,1, 1,3, 2,-5
1,3,2, 1,3, 1,5
1,3,-1, 1,3, 0,0
1,3,-1, 1,3, 0,0
1,4,2, 0,2, 2,-5
1,4,3, 0,2, 0,5
1,4,0, 0,2, 1,-10
1,4,1, 0,2, 0,5
1,4,-1, 0,2, 1,0
1,4,-1, 0,2, 1,-10
1,5,-1, 0,2, 2,0
1,5,-1, 0,2, 0,10
1,6,2, 2,0, 2,-5
1,6,1, 2,0, 0,5
1,6,1, 2,0, 1,5
1,6,2, 2,0, 1,-10
1,6,-1, 2,0, 0,0
1,6,-1, 2,0, 1,-10
1,7,3, 1,3, 2,-5
1,7,-1, 1,3, 1,0
1,7,-1, 1,3, 0,-10
1,8,0, 3,0, 2,-5
1,8,3, 3,0, 1,-10
1,8,3, 3,0, 1,-15
1,8,1, 3,0, 1,5
1,8,3, 3,0, 0,-20
1,8,3, 3,0, 1,-10
1,9,-1, 0,1, 2,0
1,9,-1, 0,1, 0,0
1,10,0, 2,0, 2,-5
1,10,-1, 2,0, 1,0
1,10,-1, 2,0, 0,-10
1,11,1, 3,2, 2,5
1,11,0, 3,2, 0,5
1,11,1, 3,2, 0,5
1,11,0, 3,2, 0,5
1,11,0, 3,2, 0,5
1,11,0, 3,2, 0,10
1,12,3, 3,2, 2,-5
1,12,1, 3,2, 1,5
1,12,1, 3,2, 0,5
1,12,3, 3,2, 0,-10
1,12,1, 3,2, 1,5
1,12,1, 3,2, 0,10
1,13,1, 1,2, 2,-5
1,13,1, 1,2, 0,-10
1,13,1, 1,2, 0,-15
1,13,0, 1,2, 0,5
1,13,-1, 1,2, 1,0
1,13,-1, 1,2, 1,0
1,14,-1, 3,0, 2,0
1,14,-1, 3,0, 0,-10
1,15,0, 3,1, 2,5
1,15,-1, 3,1, 0,0
1,15,-1, 3,1, 0,0
1,16,2, 1,3, 2,5
1,16,1, 1,3, 1,-5
1,16,-1, 1,3, 0,0
1,16,-1, 1,3, 1,-10
1,17,1, 0,3, 2,5
1,17,0, 0,3, 1,-5
1,17,1, 0,3, 0,5
1,17,0, 0,3, 1,-10
1,17,0, 0,3, 0,-15
1,17,0, 0,3, 0,10
1,18,2, 0,3, 2,5
1,18,2, 0,3, 1,5
1,18,2, 0,3, 1,5
1,18,2, 0,3, 1,5
1,18,2, 0,3, 1,5
1,18,2, 0,3, 1,10
1,19,3, 3,2, 2,-5
1,19,1, 3,2, 0,5
1,19,-1, 3,2, 1,0
1,19,-1, 3,2, 1,0
1,20,0, 1,2, 2,5
1,20,2, 1,2, 1,-5
1,20,-1, 1,2, 0,0
1,20,-1, 1,2, 1,10
1,21,-1, 0,1, 2,0
1,21,-1, 0,1, 0,10
1,22,2, 2,0, 2,-5
1,22,0, 2,0, 0,-10
1,22,-1, 2,0, 0,0
1,22,-1, 2,0, 1,10
1,23,0, 3,0, 2,-5
1,23,1, 3,0, 1,5
1,23,2, 3,0, 0,5
1,23,2, 3,0, 0,5
1,23,2, 3,0, 0,5
1,23,2, 3,0, 0,10
1,24,2, 2,1, 2,-5
1,24,-1, 2,1, 1,0
1,24,-1, 2,1, 0,-10
1,25,3, 3,1, 2,-5
1,25,-1, 3,1, 1,0
1,25,-1, 3,1, 0,-10
1,26,1, 3,2, 2,5
1,26,2, 3,2, 1,-5
1,26,-1, 3,2, 0,0
1,26,-1, 3,2, 1,10
1,27,3, 2,0, 2,5
1,27,1, 2,0, 0,5
1,27,-1, 2,0, 0,0
1,27,-1, 2,0, 0,10
1,28,3, 1,0, 2,5
1,28,1, 1,0, 0,-5
1,28,3, 1,0, 1,5
1,28,-1, 1,0, 0,0
1,28,-1, 1,0, 0,0
1,29,-1, 0,3, 2,0
1,29,-1, 0,3, 1,10
1,30,1, 0,3, 2,5
1,30,3, 0,3, 1,-5
1,30,-1, 0,3, 0,0
1,30,-1, 0,3, 1,-10
2,1,0, 1,2, 2,5
2,1,-1, 1,2, 1,0
2,1,-1, 1,2, 1,0
2,2,3, 3,1, 2,-5
2,2,0, 3,1, 1,5
2,2,2, 3,1, 0,5
2,2,2, 3,1, 0,5
2,2,2, 3,1, 0,5
2,2,2, 3,1, 0,10
2,3,1, 0,3, 2,5
2,3,0, 0,3, 0,-5
2,3,3, 0,3, 1,-10
2,3,2, 0,3, 1,5
2,3,0, 0,3, 0,-15
2,3,0, 0,3, 1,10
2,4,-1, 0,2, 2,0
2,4,-1, 0,2, 1,10
2,5,2, 2,0, 2,-5
2,5,-1, 2,0, 0,0
2,5,-1, 2,0, 1,10
2,6,0, 2,3, 2,5
2,6,0, 2,3, 1,5
2,6,-1, 2,3, 1,0
2,6,-1, 2,3, 1,10
2,7,3, 2,3, 2,-5
2,7,3, 2,3, 0,-10
2,7,3, 2,3, 0,-15
2,7,1, 2,3, 0,5
2,7,2, 2,3, 1,-20
2,7,2, 2,3, 0,-10
2,8,0, 1,2, 2,5
2,8,-1, 1,2, 1,0
2,8,-1, 1,2, 1,10
2,9,2, 3,0, 2,5
2,9,1, 3,0, 1,5
2,9,1, 3,0, 1,5
2,9,1, 3,0, 1,5
2,9,1, 3,0, 1,5
2,9,1, 3,0, 1,10
2,10,-1, 0,2, 2,0
2,10,-1, 0,2, 0,0
2,11,1, 0,1, 2,-5
2,11,0, 0,1, 1,-10
2,11,3, 0,1, 1,5
2,11,1, 0,1, 0,-15
2,11,0, 0,1, 1,-20
2,11,0, 0,1, 1,10
2,12,1, 0,3, 2,5
2,12,-1, 0,3, 0,0
2,12,-1, 0,3, 0,0
2,13,-1, 2,0, 2,0
2,13,-1, 2,0, 0,-10
2,14,2, 1,0, 2,5
2,14,3, 1,0, 1,5
2,14,3, 1,0, 1,5
2,14,3, 1,0, 1,5
2,14,2, 1,0, 1,5
2,14,2, 1,0, 1,-10
2,15,1, 1,0, 2,-5
2,15,-1, 1,0, 0,0
2,15,-1, 1,0, 1,0
2,16,0, 0,2, 2,-5
2,16,3, 0,2, 1,5
2,16,1, 0,2, 0,5
2,16,1, 0,2, 0,5
2,16,1, 0,2, 0,5
2,16,1, 0,2, 0,-10
2,17,3, 0,1, 2,5
2,17,3, 0,1, 1,5
2,17,2, 0,1, 1,5
2,17,2, 0,1, 1,5
2,17,2, 0,1, 1,5
2,17,2, 0,1, 1,10
2,18,3, 2,1, 2,5
2,18,3, 2,1, 1,5
2,18,-1, 2,1, 1,0
2,18,-1, 2,1, 1,-10
2,19,0, 3,1, 2,5
2,19,3, 3,1, 1,-5
2,19,0, 3,1, 0,5
2,19,-1, 3,1, 1,0
2,19,-1, 3,1, 1,10
2,20,0, 3,2, 2,5
2,20,2, 3,2, 1,-5
2,20,3, 3,2, 0,-10
2,20,-1, 3,2, 0,0
2,20,-1, 3,2, 1,-10
2,21,2, 1,0, 2,5
2,21,0, 1,0, 0,-5
2,21,1, 1,0, 1,-10
2,21,1, 1,0, 1,-15
2,21,1, 1,0, 1,-20
2,21,1, 1,0, 1,-10
2,22,1, 1,2, 2,-5
2,22,3, 1,2, 1,5
2,22,0, 1,2, 0,5
2,22,2, 1,2, 0,-10
2,22,3, 1,2, 1,5
2,22,3, 1,2, 0,-10
2,23,3, 2,1, 2,5
2,23,-1, 2,1, 0,0
